구시군,읍면동,아파트명,분양면적,단지세대수,개별세대수,평균매매가.제곱미터당.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,X3년.평균.인구수,X3년.평균.세대수,초중고현황,개발호재유무,혼인건수3년평균
계양구,계산동,영남,66.11,360,60,200,28,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,영남,59.5,360,60,193,28,2,154,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,66.11,170,128,208,26.07,2,151,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,59.5,170,36,206,26.07,2,122,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,원흥,76.03,170,6,194,26.07,2,170,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행강북,128.92,216,216,264,21.05,2,161,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,112.39,436,260,303,20.04,2,160,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,125.62,436,88,283,20.04,2,217,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행삼보,142.14,436,88,257,20.04,2,245,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,79.33,612,144,321,21.05,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,81.98,612,22,311,21.05,2,201,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행아주,95.86,612,446,303,21.05,2,265,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태산,125.62,544,544,271,21.04,2,261,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태평,89.25,574,460,300,21.06,2,256,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,은행태평,105.78,574,114,293,21.06,2,227,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,105.78,299,72,232,26.08,2,272,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,82.64,299,22,227,26.08,2,251,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,99.17,299,61,224,26.08,2,194,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,128.92,299,63,213,26.08,2,194,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,92.56,299,31,209,26.08,2,182,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,95.86,299,22,203,26.08,2,178,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,인정프린스,112.39,299,28,200,26.08,2,178,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,지산그라띠아,109.63,137,69,251,15.05,2,172,4.55,5,91,1,84796,34699,17,0,132
계양구,계산동,지산그라띠아,119.44,137,10,237,15.05,2,167,4.55,5,91,1,84796,34699,17,0,132
